"CHANGENUMBER","DATE","DOCUMENTNUMBER","OFFICE","TITLE"
"","2012-09-07T05:00:00Z","21-12C","AIR-200","Application for U.S. Airworthiness Certificate, FAA Form 8130–6"
"2","2006-03-24T05:00:00Z","43-18","AFS-300","Fabrication of Aircraft parts by Maintenance Personnel"
"","2011-09-07T05:00:00Z","20-136B","AIR-130","Aircraft Electrical and Electronic System Lightning Protection"
"","2012-11-28T05:00:00Z","145-11A","AFS-300","Repair Station Guidance for Compliance with the Safety Agreement between the United States and the European Union"
"","2013-09-20T05:00:00Z","25-29","AFS-300","Development of a Nondestructive Inspection Program/Organization"
"","2011-10-03T05:00:00Z","25-19A","ANM-117","Certification Maintenance Requirements"
"","2011-09-30T05:00:00Z","150/5370-11B","AAS-100","Use of Nondestructive Testing in the Evaluation of Airport Pavements"
"0","2013-08-19T05:00:00Z","150/5345-7F","AAS-100","Specification for L-824 Underground Electrical Cable for Airport Lighting Circuits"
"1","2012-06-22T05:00:00Z","120-98A","AFS-300","Operator Information for Incorporating Fuel Tank Flammability Reduction Requirements into a Maintenance or Inspection Program (Including Change 1)"
"","2012-08-27T05:00:00Z","121-22C","AFS-300","Maintenance Review Boards, Maintenance Type Boards, and OEM/TCH Recommended Maintenance Procedures"
"","2013-03-07T05:00:00Z","21-52","AIR-40","Obtaining Foreign Design Approval / Acceptance of U.S. Products and Articles"
"","2009-05-18T05:00:00Z","23-27","ACE-100","Parts and Materials Substitution for Vintage Aircraft"
"","2014-12-12T05:00:00Z","25.362-1","ANM-115","Engine Failure Loads"
"","2014-10-07T05:00:00Z","25-11B","ANM-111","Electronic Flight Displays"
"","2014-03-11T05:00:00Z","25.795-9","ANM-100","Chemical Oxygen Generator Security Standards"
"","2014-05-30T05:00:00Z","20-158A","AIR-130","The Certification of Aircraft Electrical and Electronic Systems for Operation in the High-intensity Radiated Fields (HIRF) Environment"
"0","2012-09-26T05:00:00Z","150/5345-53D","AAS-100","Airport Lighting Equipment Certification Program"
"","2014-10-27T05:00:00Z","25-28","ANM-110","Compliance of Transport Category Airplanes with Certification Requirements for Flight in Icing Conditions"
"0","2012-08-31T05:00:00Z","150/5150-2C","ACO-100","Federal Surplus Personal Property Program for Public Airport Purposes"
"0","2015-09-14T05:00:00Z","150/5370-12B","AAS-100","Quality Management for Federally Funded Airport Construction Projects"
"1","2014-06-30T05:00:00Z","20-24D","AIR-20","Approval of Propulsion Fuels, Additives, and Lubricating Oils"
"","2014-12-12T05:00:00Z","25.341-1","ANM-115","Dynamic Gust Loads"
"0","2014-11-05T05:00:00Z","150/5345-10H","AAS-100","Specification for Constant Current Regulators and Regulator Monitors"
"","2014-06-16T05:00:00Z","20-176A","AIR-140","Service Bulletins Related to Airworthiness Directives and Indicating FAA Approval on Service Documents"
"","2014-04-07T05:00:00Z","20-181","AIR-130","Airworthiness Approval of Attitude Heading Reference System (AHRS) Equipment"
"","2014-10-27T05:00:00Z","25.629-1B","ANM-115","Aeroelastic Stability Substantiation of Transport Category Airplanes"
"","2016-01-04T05:00:00Z","120-16G","AFS-300","Air Carrier Maintenance Programs"
"","2011-09-29T05:00:00Z","150/5345-56B","AAS-100","Specification for L-890 Airport Lighting Control and Monitoring System (ALCMS)"
"","2011-11-16T05:00:00Z","23-8C","ACE-100","Flight Test Guide for Certification of Part 23 Airplanes"
"0","2009-08-03T05:00:00Z","33.17-1A","ANE-111","Engine Fire Protection"
"","2011-09-30T05:00:00Z","20-174","AIR-120","Development of Civil Aircraft and Systems"
"","2014-10-31T05:00:00Z","61-137B","AFS-800","Approval of Manufacturer's Required Training Programs"
"","2011-09-27T05:00:00Z","21-51","AIR-110","Applicant’s Showing of Compliance and Certifying Statement of Compliance"
"","2014-02-24T05:00:00Z","65-31B","AFS-300","Training, Qualification, and Certification of Nondestructive Inspection Personnel"
"","2011-02-09T05:00:00Z","21-49","AIR-120","Gaining Approval Of Seats With Integrated Electronic Components"
"","2015-05-27T05:00:00Z","00-56B","AFS-300","Voluntary Industry Distributor Accreditation Program"
"1","2013-05-14T05:00:00Z","43-213A","AFS-300","Parts Marking Identification - Including Change 1"
"","2016-01-29T05:00:00Z","43-211A","AFS-300","Recommended Alternative Inspection Schedule for Daher (Socata) TBM Series Aircraft"
"","2015-10-15T05:00:00Z","20-184","AIR-133","Guidance on Testing and Installation of Rechargeable Lithium Battery and Battery Systems on Aircraft"
"","2015-03-26T05:00:00Z","135-14B","AFS-200","Helicopter Air Ambulance Operations"
"1","2015-04-14T05:00:00Z","120-111","AFS-200","Upset Prevention and Recovery Training - with Change"
"","2016-05-24T05:00:00Z","120-95A","AFS-200","Portable Oxygen Concentrators"
"0","2014-09-30T05:00:00Z","150/5100-14E","AAS-100","Architectural, Engineering, and Planning Consultant Services for Airport Grant Projects"
"","2009-05-22T05:00:00Z","91-76A","AAM-630","Hazard Associated with Sublimation of Solid Carbon Dioxide (Dry Ice) Aboard Aircraft"
"","2017-06-27T05:00:00Z","65-33A","AFS-300","Development of Training/Qualification and Certification Programs for Composite Maintenance Technicians"
"","2017-05-03T05:00:00Z","68-1A","AFS-800","BasicMed"
"","2016-09-29T05:00:00Z","120-114","AFS-200","Pilot Training and Checking (14 CFR Part 121 Subparts N and O, including Appendices E and F)"
"","2014-10-22T05:00:00Z","20-147A","ANE-100","Turbojet, Turboprop, Turboshaft, and Turbofan Engine Induction System Icing and Ice Ingestion"
"","2010-08-31T05:00:00Z","21-31A","AIR-200","Quality Control for the Manufacature of Non-Metallic Compartment Interior Components"
"","2017-04-05T05:00:00Z","91-90","AFS-300","Part 91 Approved Inspection Programs"
"1","2019-05-10T05:00:00Z","150/5340-18G","AAS-100","Standards for Airport Sign Systems"
"0","2012-09-27T05:00:00Z","150/5220-22B","AAS-100","Engineered Materials Arresting Systems (EMAS) for Aircraft Overruns"
"","2014-10-07T05:00:00Z","25.307-1","ANM-115","Proof of Structure"
"2","2000-09-25T05:00:00Z","61-67C","AFS-840","Stall and Spin Awareness Training with Change 1 & 2"
"","2016-02-10T05:00:00Z","91-37B","AFS-800","Truth in Leasing"
"","2011-01-13T05:00:00Z","25.571-1D","ANM-115","Damage Tolerance and Fatigue Evaluation of Structure"
"0","2013-08-15T05:00:00Z","150/5320-5D","AAS-100","Airport Drainage Design"
"","2011-04-23T05:00:00Z","43-10C","AFS-300","United States—Canadian Bilateral Aviation Safety Agreement Maintenance Implementation Procedures"
"","2012-06-04T05:00:00Z","20-178","AIR-100","Flammability Testing of Aircraft Cabin Interior Panels After Alterations"
"","2011-03-24T05:00:00Z","20-66B","ANE-111","Propeller Vibration and Fatigue"
"","2012-02-28T05:00:00Z","20-177","AIR-130","Design and Installation Guidance for an Airborne System for Non-Required Telecommunication Service in Non Aeronautical Frequency Bands"
"","2011-11-14T05:00:00Z","150/5220-26","AAS-100","Airport Ground Vehicle Automatic Dependent Surveillance - Broadcast (ADS-B) Out Squitter Equipment"
"","2013-08-16T05:00:00Z","129-5","AFS-50","Provision of Technical Assistance to Civil Aviation Authorities for Safety Oversight of International Commercial Air Transportation Including by Commercial Technical Assistance Providers"
"","2015-12-22T05:00:00Z","25-31","ANM-111","Takeoff Performance Data for Operations on Contaminated Runways"
"","2015-03-13T05:00:00Z","120-35D","AFS-200","Flightcrew Member Line Operational Simulations: Line-Oriented Flight Training, Special Purpose Operational Training, Line Operational Evaluation"
"","2014-12-30T05:00:00Z","121-39","AFS-200","Air Carrier Pilot Remedial Training and Tracking Program"
"","2014-10-27T05:00:00Z","25-25A","ANM-110","Performance and Handling Characteristics in Icing Conditions"
"","2012-11-16T05:00:00Z","45-4","AIR-200","Identification, marking, and placarding of aircraft issued special airworthiness certificates in the light-sport category (S-LSA) and aircraft issued experimental certificates for the purpose of operating light-sport aircraft (E-LSA)"
"","2017-03-27T05:00:00Z","23.2010-1","ACE-100","FAA Accepted Means of Compliance Process for 14 CFR Part 23"
"0","2014-10-10T05:00:00Z","150/5380-6C","AAS-100","Guidelines and Procedures for Maintenance of Airport Pavements"
"","2015-10-08T05:00:00Z","91-74B","AFS-800","Pilot Guide: Flight In Icing Conditions"
"","2017-07-21T05:00:00Z","20-151C","AIR-100","Airworthiness Approval of Traffic Alert and Collision Avoidance Systems (TCAS II), Versions 7.0 & 7.1 and Associated Mode S Transponders"
"","2016-02-26T05:00:00Z","91-87","AFS-800","Ejection Seat Training Program"
"0","2018-10-30T05:00:00Z","120-59B","AFS-200","Internal Evaluation Programs"
"","2018-09-11T05:00:00Z","43-4B","AFS-300","Corrosion Control for Aircraft"
"","2019-05-06T05:00:00Z","120-27F","AFS-200","Aircraft Weight and Balance Control"
"0","2017-12-13T05:00:00Z","150/5370-2G","AAS-100","Operational Safety on Airports During Construction"
"","2017-02-23T05:00:00Z","21-46A","AIR-100","Technical Standard Order Program"
"","2017-01-10T05:00:00Z","120-71B","AFS-200","Standard Operating Procedures and Pilot Monitoring Duties for Flight Deck Crewmembers"
"","2018-09-25T05:00:00Z","135-44","AFS-300","Part 135 Operator Aircraft Configuration Inspection"
"","2021-09-07T05:00:00Z","450.103-1","AST-1","System Safety Program"
"","2017-06-02T05:00:00Z","60-28B","AFS-800","FAA English Language Standard for an FAA Certificate Issued Under 14 CFR Parts 61, 63, 65, and 107"
"","2021-02-01T05:00:00Z","107-2A","AFS-800","Small Unmanned Aircraft System (Small UAS)"
"0","2018-12-21T05:00:00Z","150/5370-10H","AAS-100","Standard Specifications for Construction of Airports"
"","2018-08-27T05:00:00Z","61-65H","AFS-800","Certification: Pilots and Flight and Ground Instructors"
"","2020-03-31T05:00:00Z","120-66C","AFS-200","Aviation Safety Action Program"
"","2022-10-12T05:00:00Z","450.123-1","AST-1","Population Exposure Analysis"
"","2020-03-03T05:00:00Z","121-43","AFS-200","Mentoring Training for Pilots in Command"
"","2018-12-19T05:00:00Z","120-17B","AFS-300","Reliability Program Methods—Standards for Determining Time Limitations"
"","2015-03-09T05:00:00Z","33.87-1A","ANE-111","Engine Overtorque Test, Calibration Test, Endurance Test, and Teardown Inspection for Turbine Engine Certification (§§ 33.84, 33.85, 33.87, 33.93)"
"0","2022-09-16T05:00:00Z","150/5190-4B","APP-400","Airport Land Use Compatibility Planning"
"0","2019-03-20T05:00:00Z","90-110B","AFS-400","Instrument Flight Procedure Service Provider Authorization Guidance for Space-based Instrument Flight Procedures"
"","2023-08-04T05:00:00Z","120-119","AXH-1","Voluntary Safety Management System for Other Regulated Entities Transporting Dangerous Goods by Air"
"","2016-07-23T05:00:00Z","43-214A","AFS-300","Repairs and Alterations to Composite and Bonded Aircraft Structure"
"","2021-05-20T05:00:00Z","450.101-1A","AST-1","High Consequence Event Protection"
"","2023-08-15T05:00:00Z","33.70-4","AIR-625","Fatigue Life of Nickel Powder Rotating Life-Limited Parts"
"","2022-11-21T05:00:00Z","120-123","AFS-200","Flightpath Management"
"","2021-07-27T05:00:00Z","450.107-1","AST-1","Hazard Control Strategies Determination"
"","2019-01-29T05:00:00Z","91-85B","AFS-400","Authorization of Aircraft and Operators for Flight in Reduced Vertical Separation Minimum (RVSM) Airspace"
"","2018-09-13T05:00:00Z","61-83J","AFS-800","Nationally Scheduled, FAA-Approved, Industry-Conducted Flight Instructor Refresher Course"
"","2023-08-10T05:00:00Z","450.169-1","AST-1","Launch and Reentry Collision Avoidance Analysis"
"","2019-05-01T05:00:00Z","00-74","AIR-600","Avionics Human Factors Considerations for Design and Evaluation"
"","2022-05-02T05:00:00Z","90-106B","AFS-400","Enhanced Flight Vision System Operations"
"","2021-09-22T05:00:00Z","450.179-1","AST-1","Ground Safety"
"0","2022-05-25T05:00:00Z","150/5200-28G","AAS-300","Notice to Air Missions (NOTAMs) for Airport Operators"
"0","2022-04-29T05:00:00Z","150/5335-5D","AAS-110","Standardized Method of Reporting Airport Pavement Strength - PCR"
"","2021-08-05T05:00:00Z","450.109-1","AST-1","Flight Hazard Analysis"
"0","2021-09-23T05:00:00Z","150/5230-4C","AAS-300","Aircraft Fuel Storage, Handling, and Dispensing on Airports"
"0","2021-06-07T05:00:00Z","150/5320-6G","AAS-100","Airport Pavement Design and Evaluation"
"0","2018-08-31T05:00:00Z","150/5395-1B","AAS-100","Seaplane Bases"
"0","2023-02-16T05:00:00Z","150/5200-37A","AAS-300","Safety Management Systems for Airports"
"0","2019-09-12T05:00:00Z","150/5345-42J","AAS-100","Specification for Airport Light Bases, Transformer Housings, Junction Boxes, and Accessories"
"1","2018-06-28T05:00:00Z","135-43","AFS-200","Part 135 Second in Command Professional Development Program with Change 1"
"","2017-12-13T05:00:00Z","121-40","AXH-1","14 CFR Part 121 and Part 135 Dangerous Goods Transportation Operations"
"","2022-12-21T05:00:00Z","450.161-1","AST-1","Control of Hazard Areas"
"","2023-08-25T05:00:00Z","43-216A","AFS-300","Software Management During Aircraft Maintenance"
"","2016-10-19T05:00:00Z","91-91","AFS-300","Maintaining Public Aircraft"
"1","2019-05-10T05:00:00Z","150/5340-1M","AAS-100","Standards for Airport Markings"
"1","2022-02-14T05:00:00Z","70-1B","AJV-P","Outdoor Laser Operations"
"0","2018-07-13T05:00:00Z","150/5360-13A","APP-400","Airport Terminal Planning"
"","2023-07-06T05:00:00Z","90-113C","AFS-400","Instrument Flight Procedure Validation (IFPV of Performance Based Navigation (PBN) Instrument Flight Procedures (IFP)"
"","2020-04-27T05:00:00Z","142-1","AFS-200","Standardized Curricula Delivered by Part 142 Training Centers"
"","2022-10-07T05:00:00Z","20-152A","AIR-600","Development Assurance for Airborne Electronic Hardware"
"","2023-02-02T05:00:00Z","33.83-2B","AIR-624","Turbine Engine Vibration Test"
"","2023-08-28T05:00:00Z","91-79B","AFS-200,800","Aircraft Landing Performance and Runway Excursion Mitigation"
"0","2022-03-31T05:00:00Z","150/5300-13B","AAS-100","Airport Design"
"","2023-08-15T05:00:00Z","187-1S","AFS-50","Flight Standards Service Schedule of Charges Outside the United States"
"","2021-08-16T05:00:00Z","450.141-1A","AST-1","Computing System Safety"
"0","2023-05-25T05:00:00Z","150/5210-23A","AAS-310","ARFF Vehicle and High Reach Extendable Turret (HRET) Operation, Training and Qualifications"
"","2021-06-22T05:00:00Z","61-143","AFS-800","Conversion Process for Pilot Certificates in Accordance with the Technical Implementation Procedures - Licensing as Part of the Bilateral Aviation Safety Agreement Between the FAA and EASA"
"","2022-03-22T05:00:00Z","147-3C","AFS-300","Certification and Operation of Aviation Maintenance Technician Schools"
"0","1978-04-01T05:00:00Z","20-106","AFS-340","Aircraft Inspection for the General Aviation Aircraft Owner"
"0","2003-06-20T05:00:00Z","21-41A","AIR-110","Replacing MIL-S-8879C With SAE AS8879"
"0","2006-01-26T05:00:00Z","150/5200-34A","AAS-300","Construction or Establishment of Landfills near Public Airports"
"0","1985-09-30T05:00:00Z","20-124","ANM-112","Water Ingestion Testing for Turbine Powered Airplanes"
"0","1997-08-12T05:00:00Z","20-125","AFS-340","Water in Aviation Fuels"
"0","1971-07-29T05:00:00Z","20-74","AIR-120","Aircraft Position and Anticollision Light Measurements"
"0","1980-08-08T05:00:00Z","20-68B","AFS-360","Recommended Radiation Safety Precautions for Ground Operation of Airborne Weather Radar"
"0","1970-12-08T05:00:00Z","20-71","AIR-120","Dual Locking Devices on Fasteners"
"0","1983-02-07T05:00:00Z","20-119","AIR-120","Fuel Drain Valves"
"0","1993-02-10T05:00:00Z","21.17-2A","ACE-100","Type Certification-Fixed Wing Gliders (Sailplanes), Including Powered Gliders"
"0","2005-01-12T05:00:00Z","23-1523","ACE-100","Minimum Flight Crew"
"0","1982-09-17T05:00:00Z","20-116","ACE-100","Marking Aircraft Fuel Filler Openings with Color Coded Decals"
"0","1997-03-18T05:00:00Z","150/5320-12C","AAS-100","Measurement, Construction, and Maintenance of Skid Resistant Airport Pavement Surfaces"
"1","1991-01-29T05:00:00Z","20-122A","AFS-340","Anti-misfueling Devices: Their Availability and Use - Change 1"
"0","2007-06-27T05:00:00Z","150/5345-55A","AAS-100","Specification for L-893, Lighted Visual Aid to Indicate Temporary Runway Closure"
"0","2005-01-27T05:00:00Z","23-22","ACE-100","Guidance for Approved Model List (AML) Supplemental Type Certificated (STC) Approval of Part 23 Airplane Avionics Installations"
"0","2005-08-24T05:00:00Z","23-24","ACE-100","Airworthiness Compliance Checklists for Common Part 23 Supplemental Type Certificate (STC) Projects"
"0","2007-04-20T05:00:00Z","437.73-1","AST-1","Anomaly Reporting and Corrective Action for a Reusable Suborbital Rocket Operating Under an Experimental Permit"
"0","1984-02-28T05:00:00Z","91-61","AFS-800/AAM-500","A Hazard in Aerobatics: Effects of G-Forces of Pilots"
"0","1977-08-24T05:00:00Z","91-50","AFS-820","Importance of Transponder Operation and Altitude Reporting"
"0","1993-07-22T05:00:00Z","91-53A","AFS-820","Noise Abatement Departure Profile"
"0","2005-07-20T05:00:00Z","431.35-2A","AST-1","Reusable Launch and Reentry Vehicle System Safety Process"
"0","2004-12-07T05:00:00Z","20-148","AIR-100","Reusable Software Components"
"0","1994-06-14T05:00:00Z","21-37","AIR-110","Primary Category Aircraft"
"0","1990-08-13T05:00:00Z","25.807-1","ANM-114","Uniform Distribution of Exits"
"0","1990-06-20T05:00:00Z","21-28","AIR-220","Airworthiness Certification of U.S.-Produced Aircraft and Engine Kits Assembled Outside the United States"
"0","2006-08-28T05:00:00Z","150/5190-7","ACO-100","Minimum Standards for Commercial Aeronautical Activities"
"0","1993-04-08T05:00:00Z","20-109A","AFS-620","Service Difficulty Program (General Aviation)"
"0","1993-09-30T05:00:00Z","23-14","ACE-100","Type Certification Basis for Conversion from Reciprocating Engine to Turbine-Powered Part 23 Airplanes"
"0","1988-01-27T05:00:00Z","23-9","ACE-100","[Large AC] Evaluation of Flight Loads on Small Airlpanes with T, V, +, or Y Empennage Configurations"
"0","2003-09-19T05:00:00Z","23-20","ACE-100","Acceptance Guidance on Material Procurement and Process Specifications for Polymer Matrix Composite Systems"
"0","1989-03-22T05:00:00Z","20-133","AIR-130","Cockpit Noise and Speech Interference Between Crewmember"
"0","1969-07-30T05:00:00Z","21-4B","AIR-200","Special Flight Permits for Operation of Overweight Aircraft"
"0","1984-06-18T05:00:00Z","20-120","AIR-500","Nondirectional Beacon Frequency Congestion"
"0","2006-08-04T05:00:00Z","20-156","AIR-100","Aviation Databus Assurance"
"0","2000-06-06T05:00:00Z","20-143","ACE-100","Installation, Inspection, and Maintenance of Controls for General Aviation Reciprocating Aircraft Engines"
"1","2000-02-25T05:00:00Z","20-142","AFS-300","Eligibility and Evaluation of U.S. Military Surplus Flight Safety Aircraft Parts, Engines, and Propellers"
"1","1996-04-24T05:00:00Z","23.1521-2","ACE-100","Type Certification of Oxygenates and Oxygenated Gasoline Fuels in Part 23 Airplanes with Reciprocating Engines"
"0","1995-03-02T05:00:00Z","23.1521-1B","ACE-111","Type Certification of Automobile Gasoline in Part 23 Airplanes with Reciprocating Engines"
"0","1980-10-28T05:00:00Z","91-55","AFS-310","Reduction of Electrical System Failures following Aircraft Engine Starting"
"0","2005-06-24T05:00:00Z","25.856-1","ANM-115","Thermal/Acoustic Insulation Flame Propagation Test Method Details"
"0","1984-08-24T05:00:00Z","23.607-1","ACE-111","Self-Locking Nuts on Bolts Subject to Rotation"
"0","1986-05-02T05:00:00Z","25-8","ANM-112","Auxiliary Fuel Systems Installations"
"0","2004-09-28T05:00:00Z","23.629-1B","ACE-100","Means of Compliance with Title 14 CFR, Part 23, § 23.629, Flutter"
"0","1989-11-20T05:00:00Z","25-15","ANM-111","Approval of Flight Management Systems in Transport Category Airplanes"
"0","2000-07-24T05:00:00Z","00-61","AFS-800","Event Planning Guide"
"0","1986-09-17T05:00:00Z","25.853-1","ANM-110","Flammability Requirements for Aircraft Seat Cushions"
"0","1981-10-22T05:00:00Z","20-113","ACE-100","Pilot Precautions and Procedures to be taken in Preventing Aircraft Reciprocating Engine Induction System and Fuel System Icing Problems"
"2","1998-06-08T05:00:00Z","43-9C","AFS-340","Maintenance Records"
"0","2006-01-12T05:00:00Z","121-34B","AFS-220","Emergency Medical Equipment Training"
"0","2003-01-16T05:00:00Z","121-35","AFS-200","Management of Passengers during Ground Operations without Cabin Ventilation"
"0","1986-04-24T05:00:00Z","120-12A","AFS-820","Private Carriage Versus Common Carriage of Persons or Property"
"0","1982-06-10T05:00:00Z","129-3","ACS-100","Foreign Air Carrier Security"
"1","2006-01-10T05:00:00Z","25.562-1B","ANM-110","Dynamic Evaluation of Seat Restraint Systems and Occupant Protection on Transport Airplanes / with Change 1"
"1","1990-02-06T05:00:00Z","20-135","AIR-600","Powerplant Installation and Propulsion System Component Fire Protection Test Methods, Standards and Criteria with change 1"
"0","2002-08-12T05:00:00Z","120-29A","AFS-400","Criteria for Approval of Category I and Category II Weather Minima for Approach"
"0","1987-01-27T05:00:00Z","120-43","AFS-220","The Influence of Beards on Oxygen Mask Efficiency"
"0","1965-08-11T05:00:00Z","20-40","ACE-100","Placards for Battery-Excited Alternators Installed in Light Aircraft"
"1","1997-07-14T05:00:00Z","25.1581-1","ANM-110","Airplane Flight Manual"
"0","2003-06-27T05:00:00Z","34-1B","AEE-300","Fuel Venting and Exhaust Emission Requirements for Turbine Engine Powered Airplanes"
"0","2005-07-01T05:00:00Z","150/5325-4B","APP-400","Runway Length Requirements for Airport Design"
"0","1990-02-14T05:00:00Z","20-134","AIR-120","Test Procedures for Maximum Allowable Airspeed Indicators"
"0","2002-10-25T05:00:00Z","136-1","AFS-200","Commercial Air Tour Operations Conducted Over National Parks and Tribal Lands"
"0","1975-05-01T05:00:00Z","20-33B","AIR-100","Technical Information Regarding Civil Aeronautics Manuals 1, 3, 4a, 4b, 5, 6, 7, 8, 9, 13, and 14"
"0","1989-06-22T05:00:00Z","23.562-1","ACE-111","Dynamic Testing of Part 23 Airplane Seat/Restraint Systems and Occupant Protection"
"0","1999-11-19T05:00:00Z","91-69A","AFS-820","Seaplane Safety for FAR Part 91 Operators"
"0","1988-05-04T05:00:00Z","25-13","ANM-112","Reduced and Derated Takeoff Thrust (Power) Procedures"
"0","2005-12-13T05:00:00Z","120-89","AFS-220","Ground Deicing Using Infrared Energy"
"0","2006-04-27T05:00:00Z","120-90","AFS-230","Line Operations Safety Audits"
"0","2005-09-22T05:00:00Z","00-64","AFS-300","Air Medical Resource Management"
"0","1990-06-19T05:00:00Z","121.195-1A","AFS-200","Operational Landing Distances for Wet Runways; Transport Category Airplanes"
"1","2003-04-04T05:00:00Z","43-208","AFS-300","Maintenance of Emergency Evacuations Systems for Aircraft Operating Under Part 121"
"0","2005-09-09T05:00:00Z","20-37E","AFS-350","Aircraft Propeller Maintenance"
"0","2004-09-27T05:00:00Z","33.19-1","ANE-110","Guidance Material for 14 CFR §33.19, Durability, for Reciprocating Engine Redesigned Parts"
"0","1988-06-27T05:00:00Z","33.47-1","ANE-110","Detonation Testing in Reciprocating Aircraft Engines"
"0","1975-04-01T05:00:00Z","20-56A","AIR-120","Marking of TSO-C72b Individual Flotation Devices"
"0","2000-05-22T05:00:00Z","25-23","ANM-130L","Airworthiness Criteria for the Installation Approval of a Terrain Awareness and Warning System (TAWS) for Part 25 Airplanes"
"0","2004-09-30T05:00:00Z","23-23","ACE-100","Standardization Guide for Integrated Cockpits in Part 23 Airplanes"
"0","2003-09-22T05:00:00Z","90-99","ATA-301","High Altitude Airspace Redesign Phase 1"
"0","1977-04-05T05:00:00Z","20-41A","AIR-120","Substitute Technical Standard Order (TSO) Aircraft Equipment"
"0","2000-08-02T05:00:00Z","25-24","ANM-100","Sustained Engine Imbalance"
"0","1981-07-20T05:00:00Z","20-30B","AIR-120","Aircraft Position Light and Anticollision Light Installations"
"0","2007-09-26T05:00:00Z","150/5050-8","APP-400","Environmental Management Systems for Airport Sponsors"
"0","1987-06-12T05:00:00Z","120-47","AFS-220","Survival Equipment for use in Overwater Operations"
"0","1991-07-29T05:00:00Z","120-40B","AFS-205","Airplane Simulator Qualification"
"1","1995-09-27T05:00:00Z","145-5","AFS-350","Repair Station Internal Evaluation Programs - with Change 1"
"0","1997-02-18T05:00:00Z","91-32B","AFS-820","Safety in and Around Helicopters"
"0","1992-09-30T05:00:00Z","120-58","AFS-200","Pilot Guide Large Aircraft Ground Deicing"
"0","1984-07-18T05:00:00Z","91-33A","ANE-110","Use of Alternate Grades of Aviation Gasoline for Grade 80/87, and Use of Automotive Gasoline"
"1","2001-01-08T05:00:00Z","33.14-1","ANE-110","Damage Tolerance for High Energy Turbine Engine Rotors - Including Change 1"
"0","1965-09-03T05:00:00Z","20-44","ACE-100","Glass Fiber Fabric for Aircraft Covering"
"1","2005-01-13T05:00:00Z","90-96A","AFS-400","Approval of U.S. Operators and Aircraft to Operate Under Instrument Flight Rules (IFR) in European Airspace Designated for Basic Area Navigation (B-RNAV) and Precision Area Navigation (P-RNAV)"
"0","2001-05-30T05:00:00Z","43-206","AFS-300","Inspection, Prevention, Control, and Repair of Corrosion on Avionics Equipment"
"0","1991-12-13T05:00:00Z","60-22","AFS-800","Aeronautical Decision Making"
"0","1986-07-24T05:00:00Z","25.994-1","ANM-110","Design Considerations to Protect Fuel Systems during a Wheels-Up Landing"
"0","1983-11-07T05:00:00Z","120-41","AFS-400","Criteria for Operational Approval of Airborne Wind Shear Alerting and Flight Guidance"
"0","1987-07-08T05:00:00Z","20-127","ANM-110B","Use of Society of Automotive Engineers (SAE) Class H11 Bolts"
"0","1994-12-12T05:00:00Z","135-16","AFS-250","Ground Deicing & Anti-icing Training & Checking"
"0","1976-04-15T05:00:00Z","135-4A","ACS-100","Aviation Security: Air Taxi Commercial Operators (ATCO)"
"0","2000-03-14T05:00:00Z","25-22","ANM-112","Certification of Transport Airplane Mechanical Systems"
"0","1977-08-15T05:00:00Z","43-15","AFS-350","Recommended Guidelines for Instrument Shops"
"0","2000-10-20T05:00:00Z","25.491-1","ANM-110","Taxi, Takeoff and Landing Roll Design Loads"
"0","1999-07-13T05:00:00Z","120-28D","AFS-400","Criteria for Approval of Category III Weather Minima for Takeoff, Landing, and Rollout"
"0","2003-01-17T05:00:00Z","25.775-1","ANM-110","Windows and Windshields"
"0","2007-09-05T05:00:00Z","150/5345-52A","AAS-100","Generic Visual Glideslope Indicators (GVGI)"
"0","2000-02-08T05:00:00Z","33.78-1","ANE-110","Turbine Engine Power-Loss and Instability in Extreme Conditions of Rain and Hail"
"0","1977-02-24T05:00:00Z","43-14","AFS-350","Maintenance of Weather Radar Radomes"
"0","1990-11-19T05:00:00Z","135-15","AFS-250","Emergency Medical Service/Airplane (EMS/A)"
"1","1994-12-20T05:00:00Z","33-6","ANE-110","Weld Repair of Aluminum Crankcases and Cylinders of Piston Engines - Including Change 1"
"0","2002-04-10T05:00:00Z","25.735-1","ANM-100","Brakes and Braking Systems Certification Tests and Analysis"
"0","1998-09-22T05:00:00Z","33.15-1","ANE-110","Manufacturing Process of Premium Quality Titanium Alloy Rotating Engine Components"
"0","2004-04-12T05:00:00Z","120-82","AFS-230","Flight Operational Quality Assurance"
"0","2004-04-26T05:00:00Z","150/5210-22","AAS-300","Airport Certification Manual (ACM)"
"0","2008-03-07T05:00:00Z","91-56B","ANM-115","Continuing Structural Integrity Program for Airplanes"
"0","2008-05-30T05:00:00Z","90-102A","AJR-1","Airspace Flow Program"
"0","1965-09-17T05:00:00Z","20-45","ACE-100","Safetying of Turnbuckles on Civil Aircraft"
"0","2003-11-03T05:00:00Z","35.4-1","ANE-110","Propeller Instructions for Continued Airworthiness"
"0","2002-12-26T05:00:00Z","43-207","AFS-100","Correlation, Operation, Design, and Modification of Turbofan/Jet Engine Test Cells"
"0","1983-09-23T05:00:00Z","150/5060-5","APP-400","Airport Capacity And Delay"
"0","1992-02-05T05:00:00Z","120-45A","AFS-205","Airplane Flight Training Device Qualification"
